SpT,Teff,logT,BCv,logL,Mbol,Rsun,Mv,BV,BtVt,GV,BpRp,GRp,M_G,by,UB,VRc,VI,VK,JH,HK,M_J,M_K,KW1,W1W2,W1W3,W1W4,gr,iz,zY,Msun
M6.5V,2740,3.438,-4.62,-3.1,12.48,0.126,17.1,2.07,2.0392500000000005,-2.7,4.5,1.48,14.4,1.0909230769230776,1.3,1.988,4.26,7.6,0.609,0.36,10.47,9.5,0.235,0.22,-0.01837500000000003,0.12525,1.9150000000000005,1.58,0.64,0.093
M7V,2680,3.428,-4.99,-3.19,12.71,0.12,17.7,2.12,2.0617500000000004,-2.98,4.65,1.52,14.72,1.1038461538461544,1.3,2.18,4.5,8.0,0.613,0.39,10.7,9.7,0.24,0.24,-0.01800000000000003,0.129,1.9450000000000007,1.77,0.7,0.09
M7.5V,2630,3.42,-5.32,-3.24,12.84,0.116,18.16,2.14,2.0805000000000002,-3.15,4.72,1.55,15.2,1.1146153846153852,1.3,2.16,4.56,8.35,0.65,0.422,10.88,9.81,0.26,0.25,-0.01768750000000003,0.132125,1.9700000000000006,1.85,0.74,0.088
M8V,2570,3.41,-5.65,-3.28,12.95,0.114,18.6,2.15,2.1030000000000006,-3.11,4.86,1.57,15.2,1.127538461538462,1.3,2.15,4.62,8.7,0.677,0.45,11.05,9.92,0.285,0.26,-0.01731250000000003,0.135875,2.000000000000001,1.93,0.77,0.085
M8.5V,2420,3.384,-5.78,-3.47,13.42,0.104,19.2,2.16,2.1592500000000006,-3.09,5.1,1.59,15.9,1.1598461538461544,1.3,1.967,4.63,8.9,0.69,0.465,11.46,10.3,0.31,0.265,-0.016375000000000035,0.14525,2.0750000000000006,1.96,0.8,0.08
M9V,2380,3.377,-5.86,-3.52,13.54,0.102,19.4,2.17,2.1742500000000007,-3.0,4.78,1.6,16.2,1.168461538461539,1.3,1.89,4.66,9.0,0.72,0.47,11.59,10.4,0.33,0.27,-0.016125000000000035,0.14775,2.0950000000000006,1.99,0.82,0.079
M9.5V,2350,3.371,-6.13,-3.57,13.67,0.101,19.75,2.1774999999999998,2.1855,-3.1,4.86,1.61,16.4,1.1749230769230776,1.3,2.51,4.73,9.3,0.745,0.5,11.75,10.5,0.35,0.27,-0.015937500000000035,0.14962499999999998,2.1100000000000008,2.0,0.84,0.078
L0V,2270,3.356,-6.25,-3.6,13.75,0.102,20.0,2.1974999999999993,2.2155000000000005,-3.45,5.073333333333334,1.68,16.6,1.1921538461538468,1.3,4.163333333333333,4.85,9.4,0.76,0.51,11.76,10.55,0.36,0.27,-0.015437500000000036,0.15462499999999998,2.150000000000001,2.01,0.86,0.077
L1V,2160,3.334,-6.48,-3.71,14.02,0.0995,20.5,2.2249999999999988,2.2567500000000007,-3.9312500000000004,5.366666666666667,1.66,16.9,1.2158461538461545,1.3,6.436666666666666,4.91,9.65,0.82,0.54,12.12,10.77,0.37,0.28,-0.014750000000000037,0.1615,2.205000000000001,2.02,0.88,0.076
L2V,2060,3.314,-6.62,-3.82,14.28,0.097,20.9,2.2499999999999982,2.294250000000001,-4.36875,5.633333333333335,1.69,17.3,1.2373846153846162,1.3,8.503333333333332,5.05,9.9,0.89,0.58,12.47,11.0,0.47,0.28,-0.014125000000000039,0.16774999999999998,2.255000000000001,2.04,0.9,0.075
L3V,1920,3.283,-7.05,-3.96,14.65,0.0942,21.7,2.2849999999999975,2.3467500000000006,-4.981250000000001,6.006666666666668,1.7,18.1,1.2675384615384622,1.3,11.396666666666665,5.29,10.1,0.97,0.61,12.78,11.4,0.5,0.29,-0.013250000000000043,0.1765,2.325000000000001,2.1,0.92,0.0736
L4V,1870,3.272,-7.53,-4.01,14.77,0.094,22.3,2.297499999999997,2.365500000000001,-5.200000000000001,6.1400000000000015,1.74,18.35,1.2783076923076933,1.3,12.429999999999998,5.57,10.5,1.0,0.63,13.09,11.5,0.6,0.3,-0.012937500000000043,0.17962499999999998,2.350000000000001,2.2,0.94,0.0731
