GroupID,object,spt,npoints,median_mjd,pseudomag,ra_mean,dec_mean,ra_median,dec_median,ra_std,dec_std,ra_skew,dec_skew,ra_kurtosis,dec_kurtosis,semi_major_axis,semi_minor_axis,position_angle,bbox_width,bbox_height,bbox_diagonal,spatial_density,time_span,min_mjd,max_mjd,bbox,EC,CP,LP,I2,P3,HAM,EGG,SCI,CAL
955,HD72659;;;;;;;;;;,G0;G2;G;;;;;;;;,66,55217.28854614584,6.589168234711203,128.51486861136365,-1.5684133333333334,128.514966525,-1.5683950000000002,9.800359807954566,4.175118209289636,-0.18185998829198877,-0.04267517893021321,-1.0122950126009165,-0.7778023339390128,24.54790995788397,8.789243157500538,76.85206464599653,17.13600000000035,39.76199999998471,43.297334098057306,0.09686486133111767,2305749.479637379,53058.16184127315,59370.95986902778,"[(-1.57077, 128.50816805), (-1.57077, 128.51921305), (-1.56601, 128.51921305), (-1.56601, 128.50816805)]",66,0,0,0,66,64,0,66,0
956,HD19819;;;;;;;;;;,K5;;;;;;;;;;,35,53059.01623282408,8.870312305660033,47.09486744057143,-60.173092,47.09543111,-60.17321,8.777424376169945,4.770931274243387,-0.554261955978755,0.6153262124865725,-0.5039301306168413,1.9616738790193882,21.82713373786579,11.02305636071076,78.19355748362693,25.41600000000983,36.20199600000262,44.2329918769317,0.03803893300793183,2497273.0674757287,53059.01623282408,59896.1772662963,"[(-60.17596, 47.08907), (-60.17596, 47.09912611), (-60.1689, 47.09912611), (-60.1689, 47.08907)]",35,0,0,0,35,35,0,35,0
957,HD21132;;;;;;;;;;,F5;;;;;;;;;;,119,54555.9905966088,7.940015582592369,50.35106546739495,-61.489311680672266,50.35076888,-61.48918,9.609888521303331,4.013273666598535,0.38910956367524174,-0.43415271431660746,0.1800296295317798,3.189574283752825,23.951002691290554,8.724179082551453,78.3227002337903,28.40400000001182,50.757012000005375,58.164091011287724,0.08254131995585849,2124291.3214027705,53059.023844027775,58875.01651042824,"[(-61.49457, 50.34505194), (-61.49457, 50.35915111), (-61.48668, 50.35915111), (-61.48668, 50.34505194)]",119,0,0,0,117,117,0,119,0
958,HD23472;TOI-174;;;;;;;;;,K5;K4;G1;;;;;;;;,45,53059.03227260416,9.694199512685588,55.45791189777778,-62.76855333333333,55.45761611,-62.76872,10.672285105350486,3.8256593014555014,0.3267776607844596,0.5664537071477713,-0.17837986939188832,-0.7354095123890363,26.929393892359357,6.697087076416594,75.46865479702213,13.211999999998625,47.44501200000286,49.25023967129885,0.07178825353461536,2362542.3641790184,53059.03227260416,59527.320744004624,"[(-62.77008, 55.45282388), (-62.77008, 55.46600305), (-62.76641, 55.46600305), (-62.76641, 55.45282388)]",45,0,0,0,45,45,0,45,0
959,HD36179;;;;;;;;;;,G8;;;;;;;;;;,2,53788.07908489584,8.971645108300246,79.00504708,-81.069175,79.00504708,-81.069175,5.238965455509386,15.706255823708833,0.0,0.0,-2.0,-2.0,,,,22.21199999999044,7.409015999985513,23.415090477886622,0.012152952437000958,266276.4506559591,53059.05389487268,53788.07908489584,"[(-81.07226, 79.00401805), (-81.07226, 79.00607611), (-81.06609, 79.00607611), (-81.06609, 79.00401805)]",2,0,0,0,2,2,0,2,0
960,HIP35937;;;;;;;;;;,M0;;;;;;;;;;,7,53835.98390511574,9.741403285360096,111.1378265,-80.18200142857143,111.13824305,-80.18083,10.459694509225882,7.886586659825256,-0.18578820055358067,-0.7780660721527304,-0.9545690867022909,-0.9210132870892296,27.241368570686863,16.911066125032622,115.8395362838207,20.4840000000047,31.03199999997628,37.183050977545136,0.01101218519057761,395927.96608723025,53059.11301368056,54143.104707280094,"[(-80.18575, 111.13331388), (-80.18575, 111.14193388), (-80.18006, 111.14193388), (-80.18006, 111.13331388)]",7,0,0,0,7,7,0,7,0
961,HD90081;;;;;;;;;;,G1;;;;;;;;;;,6,55315.14232813657,7.365345608477458,155.89600467166667,-12.486078333333333,155.895923055,-12.486765,9.045626482658939,4.519364734120871,0.017657807823549216,0.7280408326831497,-1.8932341167357944,-1.3761402380266758,23.16403752278894,8.717524297968247,71.50063527872571,10.080000000002087,19.88197199999604,22.291236183950602,0.02993858432343082,923762.583371535,53059.17113524306,55588.29525125,"[(-12.48704, 155.89329111), (-12.48704, 155.89881388), (-12.48424, 155.89881388), (-12.48424, 155.89329111)]",6,0,0,0,6,6,0,6,0
962,GJ390;BD-093070;;;;;;;;;,M1;M0;;;;;;;;;,49,55337.07094061343,10.01697987377172,156.29533200346938,-10.227332857142857,156.29526805,-10.22685,6.458092306830623,5.240159348722589,-0.04661262425257931,-1.720140384276245,-0.1937910915079275,4.131438590398134,16.073814617200725,12.490290031734963,73.25060480679764,28.440000000004062,29.160000000047148,40.73253245261066,0.059085235154308656,2549811.5828454415,53059.17418666667,60040.17783579861,"[(-10.23333, 156.29078611), (-10.23333, 156.29888611), (-10.22543, 156.29888611), (-10.22543, 156.29078611)]",49,0,0,0,49,49,0,49,0
963,HIP51073;;;;;;;;;;,K0;;;;;;;;;;,26,55262.20952949074,10.73672255693417,156.52959077576924,-17.976911153846153,156.529152495,-17.97674,7.316824046741575,4.886337456152942,0.7681181144568555,-0.46184657296983,0.18338285882027083,-0.8111042414241934,18.13014420851988,11.622151621208374,101.70445126051004,16.955999999997573,29.447999999933927,33.98073925028745,0.05207078627668752,2268590.0296919774,53059.18426734954,59270.24526582176,"[(-17.9794, 156.5261), (-17.9794, 156.53428), (-17.97469, 156.53428), (-17.97469, 156.5261)]",26,0,0,0,25,25,0,26,0
964,HD90702;;;;;;;;;;,G2;;;;;;;;;;,6,60040.18970209491,7.457510320167043,156.98133282,-21.701819999999998,156.98097096499998,-21.701304999999998,3.9988865817942227,9.419157669346214,0.405763717822815,-1.2298519664959928,-1.5861343164187292,0.511138392722442,23.392395478255974,8.95115521759602,-169.44271067895176,28.188000000007207,8.920980000027612,29.56598092675599,0.023860218798260047,2549807.7753805197,53059.1964772338,60040.18970209491,"[(-21.70681, 156.980275), (-21.70681, 156.98275305), (-21.69898, 156.98275305), (-21.69898, 156.980275)]",6,0,0,0,6,6,0,6,0
