HD128621;HD128620;ALF CEN B;ALPHA-CENTAURI;HD128620A;HR5459;HR5460;ALPHACENB;;;ALPHA-CEN,27812
HD46149;;;;;;;;;;,37
SW2353-1007;;;;;;;;;;,37
HIP-43297;HIP43297;HD 75302;;;;;;;;,37
HIP-87769;HD 163441;HIP87769;;;;;;;;,37
J0623-27;HATS600-019;;;;;;;;;,37
SW0030-4034;;;;;;;;;;,37
J1525-36;;;;;;;;;;,37
J1959-56;;;;;;;;;;,37
GJ1031;;;;;;;;;;,37
HD72687;HD  72687;;;;;;;;;,37
TIC186072225;TYC 6768-1482-1;;;;;;;;;,37
J0946-29;;;;;;;;;;,37
J0415-16;;;;;;;;;;,37
TYC 8448-76-1;TIC139251123;;;;;;;;;,37
HD30306;;;;;;;;;;,36
HD17439;;;;;;;;;;,36
HD187456;;;;;;;;;;,36
HD164259;;;;;;;;;;,36
HIP95903;;;;;;;;;;,36
HD003003;HD3003;;;;;;;;;,36
BD-063481;;;;;;;;;;,36
NGC4349NO53;NGC4349NO.53;;;;;;;;;,36
HD000693;HD693;;;;;;;;;,36
HD202730;;;;;;;;;;,36
HD50445;HD050445;;;;;;;;;,36
NLTT-31322;HD109787;;;;;;;;;,36
HD40136;HD040136;;;;;;;;;,36
HD77370;HD077370;;;;;;;;;,36
HD125276;;;;;;;;;;,36
HD150437;;;;;;;;;;,36
HD105850;;;;;;;;;;,36
HD90520;;;;;;;;;;,36
HD144550;HIP78998;;;;;;;;;,36
GJ855;HIP110534;;;;;;;;;,36
HD13350;;;;;;;;;;,36
SW1451+0556;;;;;;;;;;,36
HD-169467;ALF-TEL;;;;;;;;;,36
HD6980;AI_PHE;AI PHE;;;;;;;;,36
SW0015+0112;;;;;;;;;;,36
ETAAPS;A_ETAAPS;B_ETAAPS;C_ETAAPS;D_ETAAPS;;;;;;,36
HIP-38072;HIP38072;HD 63487;;;;;;;;,36
HIP-40133;HIP40133;HD 68168;;;;;;;;,36
HIP-72043;HIP72043;HD 129814;;;;;;;;,36
HD49976;;;;;;;;;;,36
SMC-CEP-1750;SMC-CEP-1765;;;;;;;;;,36
V AH VEL;AH_VEL;;;;;;;;;,36
ETA-CEN;;;;;;;;;;,36
HATS699-001;HATS-17;;;;;;;;;,36
SW2150+0411;;;;;;;;;;,36
HD92664;HD92644;;;;;;;;;,36
EPIC205950854;;;;;;;;;;,36
J1037-25;;;;;;;;;;,36
HD  52758;;;;;;;;;;,36
TYC 8829-3-1;TIC219332978;;;;;;;;;,36
HD200143;;;;;;;;;;,35
HD196892;;;;;;;;;;,35
HD4597;;;;;;;;;;,35
HIP23708;;;;;;;;;;,35
HD21161;;;;;;;;;;,35
HD19819;;;;;;;;;;,35
HIP17346;;;;;;;;;;,35
HD118466;;;;;;;;;;,35
HD127124;;;;;;;;;;,35
HD177409;;;;;;;;;;,35
GL526;;;;;;;;;;,35
HD214094;;;;;;;;;;,35
NGC4349NO5;NGC4349NO.5;;;;;;;;;,35
IC4651NO9791;;;;;;;;;;,35
HD-98457;;;;;;;;;;,35
CD-231087;;;;;;;;;;,35
HD134702;HIP74417;;;;;;;;;,35
HD-28635;HIP21112;;;;;;;;;,35
HIP-14614;HD19518;HIP14614;;;;;;;;,35
HD068456;HD68456;;;;;;;;;,35
HD29992;HD029992;;;;;;;;;,35
HD212918;;;;;;;;;;,35
HR_2959;;;;;;;;;;,35
HD206683;;;;;;;;;;,35
GJ3440;;;;;;;;;;,35
GJ3969;;;;;;;;;;,35
LRC01_E2_1802;;;;;;;;;;,35
HD224228;;;;;;;;;;,35
LRA02_E1_4601;;;;;;;;;;,35
SW1251-4204;;;;;;;;;;,35
WZSCL;;;;;;;;;;,35
HIP--9349;HIP9349;;;;;;;;;,35
HIP--3203;HIP3203;;;;;;;;;,35
HR4378;A_HR4378;B_HR4378;C_HR4378;;;;;;;,35
CWW_085;;;;;;;;;;,35
J1119-39;;;;;;;;;;,35
J1630+10;;;;;;;;;;,35
HIP63242;;;;;;;;;;,35
HD224619;;;;;;;;;;,34
HD32724;;;;;;;;;;,34
HD222595;;;;;;;;;;,34
HD73256;HD-73256;;;;;;;;;,34
HD71685;;;;;;;;;;,34
HD145809;;;;;;;;;;,34
HIP-34511;HD54351;HIP34511;;;;;;;;,34
IC2714NO126;IC2714NO.126;;;;;;;;;,34
IC4651NO11453;;;;;;;;;;,34
HD181321;;;;;;;;;;,34
HD219482;;;;;;;;;;,34
NGC2360NO79;;;;;;;;;;,34
HD97244;HD097244;;;;;;;;;,34
HD115892;;;;;;;;;;,34
HD114642;;;;;;;;;;,34
HD128020;;;;;;;;;;,34
HD191391;;;;;;;;;;,34
HD-190073;HD190073_7_7;HD190073;HD190073_7.7_A2;;;;;;;,34
HIP-44935;HIP44935;HD 78534;HD78534;;;;;;;,34
GAMMA-TAU;HD27371;HR1346;HIP20205;;;;;;;,34
HD19400;HD-19400;;;;;;;;;,34
SW2016+0317;;;;;;;;;;,34
HD000010;;;;;;;;;;,34
HD000013;;;;;;;;;;,34
TOI-222;;;;;;;;;;,34
HD212708;;;;;;;;;;,33
HD23356;;;;;;;;;;,33
HD6735;;;;;;;;;;,33
HD11938;;;;;;;;;;,33
HD290038;;;;;;;;;;,33
HD71479;;;;;;;;;;,33
HD44804;;;;;;;;;;,33
HIP40459;;;;;;;;;;,33
HIP32812;;;;;;;;;;,33
HD66340;;;;;;;;;;,33
HD108564;;;;;;;;;;,33
HD109988;;;;;;;;;;,33
HD39427;;;;;;;;;;,33
BD-013125;;;;;;;;;;,33
HD200349;;;;;;;;;;,33
IC4651NO7646;E12;;;;;;;;;,33
HD-1909;HD1909;;;;;;;;;,33
HD220894;;;;;;;;;;,33
GJ1100;;;;;;;;;;,33
V346-CEN;;;;;;;;;;,33
LRC02_E1_1280;;;;;;;;;;,33
N330-1;N330-4;N330-5;N330-7;;;;;;;,33
HD9174;HD   9174;;;;;;;;;,33
SW2334-0134;;;;;;;;;;,33
BVIR;C_BVIR;A_BVIR;B_BVIR;HD 104181;D_BVIR;;;;;,33
HD170133;;;;;;;;;;,33
SW0501-2603;SW0511-2603;;;;;;;;;,33
J0353+05;;;;;;;;;;,33
HD000001;;;;;;;;;;,33
RT_TRA;RT TRA;;;;;;;;;,33
BV_CHA;BV CHA;;;;;;;;;,33
J0954-23;HATS560-010;;;;;;;;;,33
TOI-197;HD 221416;;;;;;;;;,33
TOI-257;;;;;;;;;;,33
TOI-488;;;;;;;;;;,33
TOI-732;;;;;;;;;;,33
BD-08 2955;;;;;;;;;;,33
HD36108;;;;;;;;;;,32
HD23456;;;;;;;;;;,32
HD38382;;;;;;;;;;,32
HD24331;;;;;;;;;;,32
BD-170063;;;;;;;;;;,32
HD209449;;;;;;;;;;,32
BD-126174;GJ4254;;;;;;;;;,32
HD9782;;;;;;;;;;,32
HD78612;GJ3543;;;;;;;;;,32
8 LIB;;;;;;;;;;,32
HIP45096;;;;;;;;;;,32
Y-SGR;Y_SGR;Y SGR;GC-YSGR;;;;;;;,32
V Y OPH;Y-OPH;Y_OPH;;;;;;;;,32
HD221287;HDTE221287;;;;;;;;;,32
HIP109149;;;;;;;;;;,32
HD048938;HD48938;;;;;;;;;,32
HV6093;;;;;;;;;;,32
IC4651NO8540;E98;;;;;;;;;,32
NGC3114NO262;;;;;;;;;;,32
IC2714NO190;IC2714NO.190;;;;;;;;;,32
IC4651NO14527;;;;;;;;;;,32
HD-126515;;;;;;;;;;,32
HD187691;;;;;;;;;;,32
HD191862;;;;;;;;;;,32
HD39014;;;;;;;;;;,32
HD41742;HD041742;;;;;;;;;,32
HD160089;;;;;;;;;;,32
HIP103019;;;;;;;;;;,32
V392-CAR;;;;;;;;;;,32
HD-101412;HD101412;;;;;;;;;,32
EPSLUP;HD136504;;;;;;;;;,32
LRC03_E2_2590;SRC03_E2_2590;;;;;;;;;,32
RSP95-83;;;;;;;;;;,32
HD-175191;;;;;;;;;;,32
ALF-MUS;HD-109668;;;;;;;;;,32
HD-67621;;;;;;;;;;,32
A_FBOO;FBOO;B_FBOO;C_FBOO;;;;;;;,32
HR5807;A_HR5807;HD 139271;A_HR 5807;B_HR 5807;C_HR 5807;;;;;,32
HD121743;HD-121743;;;;;;;;;,32
HD103743;;;;;;;;;;,32
CD-292360;;;;;;;;;;,32
HD-11937;HD11937;;;;;;;;;,32
BET-GRU;;;;;;;;;;,32
OME-CAR;;;;;;;;;;,32
HD74535;;;;;;;;;;,32
CPD-60-944A;CPD+60-944A;;;;;;;;;,32
HD 122640;HD122640;;;;;;;;;,32
HD-35296;;;;;;;;;;,32
CHI1-ORI;;;;;;;;;;,32
J0104-38;;;;;;;;;;,32
WASP156;;;;;;;;;;,32
HD198802;;;;;;;;;;,31
HD211188;;;;;;;;;;,31
HD208272;;;;;;;;;;,31
HD38510;;;;;;;;;;,31
HD193901;;;;;;;;;;,31
HD56533;;;;;;;;;;,31
HD98284;;;;;;;;;;,31
HD131183;;;;;;;;;;,31
HD1979;;;;;;;;;;,31
HD-19918;HD_19918;;;;;;;;;,31
BD+012063;HD840774;;;;;;;;;,31
HD-93507;;;;;;;;;;,31
HD143790;;;;;;;;;;,31
NGC3532NO596;NGC3532NO.596;;;;;;;;;,31
GJ294B;;;;;;;;;;,31
FU-ORI;SERAM-0545+0904;SERAM_0545+0904;STD0545+0904;;;;;;;,31
GJ4001;HIP84652;;;;;;;;;,31
GJ3643;;;;;;;;;;,31
VXR-PSPC-72;;;;;;;;;;,31
A_34HYA;34HYA;B_34HYA;C_34HYA;;;;;;;,31
64VIR;B_64VIR;A_64VIR;C_64VIR;;;;;;;,31
CCDM-J15051-4703AB;HD-133242;HD-133242-E;;;;;;;;,31
HD6107;;;;;;;;;;,31
HD000015;;;;;;;;;;,31
HD 85249;HD85249;;;;;;;;;,31
SW0837-1938;HATS557-037;;;;;;;;;,31
HD100453;HD 100453;;;;;;;;;,31
R1511-1752;;;;;;;;;;,31
HD220928;HD 220928;;;;;;;;;,31
J0759-69;;;;;;;;;;,31
TOI-745;;;;;;;;;;,31
HD119638;;;;;;;;;;,30
HD13724;;;;;;;;;;,30
HD24892;;;;;;;;;;,30
HD20280;;;;;;;;;;,30
HD37986;;;;;;;;;;,30
HD104263;;;;;;;;;;,30
HD117105;;;;;;;;;;,30
HD81700;;;;;;;;;;,30
HD101339;;;;;;;;;;,30
HD118563;;;;;;;;;;,30
HD139590;;;;;;;;;;,30
HD44627;HD044627;AB_PIC;;;;;;;;,30
HD-96273;BD+07-2411B;BD07+2411B;HD96273;;;;;;;,30
HD298936;TWA-21;;;;;;;;;,30
HD156423;;;;;;;;;;,30
HD147512;;;;;;;;;;,30
HD004293;HD4293;;;;;;;;;,30
HD211976;;;;;;;;;;,30
HD118098;;;;;;;;;;,30
HD133469;;;;;;;;;;,30
HD100563;;;;;;;;;;,30
HD113766;HD_113766;;;;;;;;;,30
11_LIB;;;;;;;;;;,30
58_OPH;;;;;;;;;;,30
NGC2287NO87;;;;;;;;;;,30
HD128356;HIP71481;;;;;;;;;,30
HD199981;;;;;;;;;;,30
GJ800A;;;;;;;;;;,30
GJ4206;;;;;;;;;;,30
HD6790;;;;;;;;;;,30
GJ3918;;;;;;;;;;,30
V573-CAR;;;;;;;;;;,30
GV-CAR;;;;;;;;;;,30
HR4502;A_HR4502;B_HR4502;C_HR4502;HD101615_A0V;HD-101615;D_HR4502;;;;,30
LRC02_E2_4747;;;;;;;;;;,30
HD089449;40LEO;;;;;;;;;,30
SW0157+0045;;;;;;;;;;,30
SW0844+0151;;;;;;;;;;,30
NGC3114NO283;;;;;;;;;;,30
HD120036;;;;;;;;;;,30
HD191089;;;;;;;;;;,30
HD149143;;;;;;;;;;,30
HD 95881;HD95881_8.2;HD95881;;;;;;;;,30
HD000016;;;;;;;;;;,30
HD93489;;;;;;;;;;,30
V716 OPH;V716_OPH;;;;;;;;;,30
WASP-74;;;;;;;;;;,30
J1141-37;;;;;;;;;;,30
J0407-23;;;;;;;;;;,30
TIC323295479;CPD-82  282;;;;;;;;;,30
TOI-5005;;;;;;;;;;,30
HD86065;;;;;;;;;;,29
HD30278;;;;;;;;;;,29
HD213941;;;;;;;;;;,29
HD2567;;;;;;;;;;,29
HD25587;;;;;;;;;;,29
GJ1001;;;;;;;;;;,29
HIP31292;HIP31293;;;;;;;;;,29
HD66428;;;;;;;;;;,29
HIP32127;;;;;;;;;;,29
HIP18180;GJ155.3;;;;;;;;;,29
HD90812;;;;;;;;;;,29
BD-213153;;;;;;;;;;,29
HD123319;;;;;;;;;;,29
HD148816;;;;;;;;;;,29
HD218379;;;;;;;;;;,29
HIP10688;GJ93;;;;;;;;;,29
HD143638;;;;;;;;;;,29
HIP80242B;;;;;;;;;;,29
HD173885;;;;;;;;;;,29
HD019107;HD19107;;;;;;;;;,29
HD147889;;;;;;;;;;,29
HD50652;;;;;;;;;;,29
HD000018;HD823200;GJ182;;;;;;;;,29
HD221575;;;;;;;;;;,29
LMC-CEP1718;LMC-CEP-1718;OGLE-LMC-CEP-1718;;;;;;;;,29
GJ2121;;;;;;;;;;,29
HD46150;;;;;;;;;;,29
NGC3532NO670;NGC3532NO.670;;;;;;;;;,29
HD016765;;;;;;;;;;,29
GAM01 SGR;W_SGR;;;;;;;;;,29
J1016-46;;;;;;;;;;,29
J0708-68;;;;;;;;;;,29
TIC 238542895;TIC238542895;;;;;;;;;,29
TOI-1943;;;;;;;;;;,29
V EG TUC;;;;;;;;;;,29
HD220367;;;;;;;;;;,28
HD197536;;;;;;;;;;,28
HD83529;;;;;;;;;;,28
GL299;;;;;;;;;;,28
HD65562;;;;;;;;;;,28
HD66221;;;;;;;;;;,28
HD38385;;;;;;;;;;,28
HD134113;;;;;;;;;;,28
HD205289;;;;;;;;;;,28
HD145666;;;;;;;;;;,28
HD2768;;;;;;;;;;,28
HD6569;HD006569;;;;;;;;;,28
HV881;;;;;;;;;;,28
HV873;;;;;;;;;;,28
HD149661;;;;;;;;;;,28
HD74000;HIP-42592;;;;;;;;;,28
HD147935;;;;;;;;;;,28
HD-2696;HD2696;;;;;;;;;,28
HD142630;HD142629;;;;;;;;;,28
NGC2539NO246;TYC5434-3430-1;;;;;;;;;,28
HD145689;;;;;;;;;;,28
HD217786;;;;;;;;;;,28
HIP116374;;;;;;;;;;,28
HD153053;;;;;;;;;;,28
NGC2287NO21;;;;;;;;;;,28
NGC6705NO1658;;;;;;;;;;,28
ETA-ARA;HD-151249;;;;;;;;;,28
GJ3962;;;;;;;;;;,28
GJ3221;;;;;;;;;;,28
GJ3502B;;;;;;;;;;,28
V963_CEN;V963CEN;V963 CEN;B-V936-CEN;V* V963 CEN;A131844;;;;;,28
GJ891;;;;;;;;;;,28
CL496-2;CL496-4;CL496-3;CL496-1;;;;;;;,28
VXR-PSPC-70;;;;;;;;;;,28
ASAS195222;A195222;AHD187669;ASAS1952;;;;;;;,28
HD42597;;;;;;;;;;,28
HD120734;;;;;;;;;;,28
CHI-CAR;HD-65575;;;;;;;;;,28
RHO-CEN;HD-105937;;;;;;;;;,28
SIG-CEN;HD-108483;;;;;;;;;,28
HR-4898;HD-112092;;;;;;;;;,28
HD,151804;HD-151804;;;;;;;;;,28
B_HR3721;HR3721;A_HR3721;C_HR3721;D_HR3721;;;;;;,28
HR4331;A_HR4331;C_HR4331;B_HR4331;;;;;;;,28
HR5342;A_HR5342;B_HR5342;C_HR5342;D_HR5342;;;;;;,28
HD-223640;;;;;;;;;;,28
HD46223;;;;;;;;;;,28
HD108767;;;;;;;;;;,28
SW0318-4118;;;;;;;;;;,28
HD162576;;;;;;;;;;,28
CL001-04;BD20594_PLEI;;;;;;;;;,28
HD133652;;;;;;;;;;,28
C6_3289;C06_3289;;;;;;;;;,28
HD145501;HD145501B;;;;;;;;;,28
HD000014;;;;;;;;;;,28
C12_3474;EPIC246393474;;;;;;;;;,28
HD 211420;;;;;;;;;;,28
EPIC211432321;;;;;;;;;;,28
EPIC211826254;;;;;;;;;;,28
J2054-32;;;;;;;;;;,28
J0035-69;;;;;;;;;;,28
CD-50524;HD11584;;;;;;;;;,28
HD192343;HD192344;;;;;;;;;,28
TIC269333648;;;;;;;;;;,28
Y03 PUP;;;;;;;;;;,28
HD132648;;;;;;;;;;,27
HD44573;;;;;;;;;;,27
HIP1044;;;;;;;;;;,27
HD211583;;;;;;;;;;,27
HD24558;;;;;;;;;;,27
HD16714;;;;;;;;;;,27
HD223121;;;;;;;;;;,27
HIP45301;;;;;;;;;;,27
BD-082582;HD844722;;;;;;;;;,27
HD90711;;;;;;;;;;,27
ETA-ORI;ETAORI;NA_STAR;ETA_ORI;;;;;;;,27
HD121004;;;;;;;;;;,27
HD8558;TIC206592394;;;;;;;;;,27
HD-63563;;;;;;;;;;,27
HD224063;;;;;;;;;;,27
HD84273;;;;;;;;;;,27
HV2369;SV* HV  2369;;;;;;;;;,27
HV900;HD 269075;;;;;;;;;,27
HV878;;;;;;;;;;,27
NGC4349NO9;NGC4349NO.9;;;;;;;;;,27
HD-134214;;;;;;;;;;,27
HD013555;HD13555;;;;;;;;;,27
HD116568;;;;;;;;;;,27
HD116658;;;;;;;;;;,27
HD143120;;;;;;;;;;,27
HD194490;;;;;;;;;;,27
V_IND;V-IND;;;;;;;;;,27
GJ-1046;GJ1046;;;;;;;;;,27
GJ724;;;;;;;;;;,27
HD35929;;;;;;;;;;,27
OBJ2018;YBP2018;;;;;;;;;,27
OBJ1587;SAND1084;S1084;NGC  2682   157;;;;;;;,27
GL-CAR;;;;;;;;;;,27
HD045270;;;;;;;;;;,27
HD214686;;;;;;;;;;,27
HIP-30037;HIP30037;;;;;;;;;,27
A_HR3383;B_HR3383;HR3383;C_HR3383;;;;;;;,27
HD178169;;;;;;;;;;,27
HD 147048;HD-133938;;;;;;;;;,27
SW0239-5002;;;;;;;;;;,27
SW1131-4141;;;;;;;;;;,27
IOT-LUP;;;;;;;;;;,27
CO_PUP;CO PUP;;;;;;;;;,27
V420_CEN;V420 CEN;;;;;;;;;,27
XX VIR;XX_VIR;;;;;;;;;,27
EPIC211889233;;;;;;;;;;,27
SW0813-0158;;;;;;;;;;,27
C15_4646;CL008_15;CL008-15;;;;;;;;,27
J0425-46;;;;;;;;;;,27
HD088981;;;;;;;;;;,27
J2217-04;;;;;;;;;;,27
J0057-21;;;;;;;;;;,27
HD4552;BD+120090;;;;;;;;;,27
HD124718;HIP69682;;;;;;;;;,27
BD+06  2168;;;;;;;;;;,27
TOI-757;;;;;;;;;;,27
HD28821;;;;;;;;;;,26
HD220256;;;;;;;;;;,26
HIP19333;;;;;;;;;;,26
HD29137;;;;;;;;;;,26
HD210975;;;;;;;;;;,26
HD24085;;;;;;;;;;,26
HD81639;;;;;;;;;;,26
HD209742;;;;;;;;;;,26
HD97998;;;;;;;;;;,26
HD74014;;;;;;;;;;,26
HIP35965;;;;;;;;;;,26
HIP41659;;;;;;;;;;,26
HD110619;;;;;;;;;;,26
RS-PUP;RS_PUP;RS PUP;GC-RSPUP;;;;;;;,26
HD109684;;;;;;;;;;,26
HIP51073;;;;;;;;;;,26
HD115773;;;;;;;;;;,26
HD323684;;;;;;;;;;,26
HIP4328;GJ43;;;;;;;;;,26
TWA24;;;;;;;;;;,26
HV1023;;;;;;;;;;,26
HV12452;;;;;;;;;;,26
IC2714NO5;IC2714NO.5;;;;;;;;;,26
HD183263;HD 183263;;;;;;;;;,26
HD139189;;;;;;;;;;,26
HD212301;;;;;;;;;;,26
HD222095;;;;;;;;;;,26
NGC2539NO652;;;;;;;;;;,26
G4_TARGET12;HD109962;HD_109962;;;;;;;;,26
HD142139;;;;;;;;;;,26
HD191285;;;;;;;;;;,26
HD172643;;;;;;;;;;,26
HD160836;;;;;;;;;;,26
HD90028;HD 90028;;;;;;;;;,26
HD190125;;;;;;;;;;,26
GJ91;;;;;;;;;;,26
GJ3708A;;;;;;;;;;,26
HD217343;;;;;;;;;;,26
A155259;;;;;;;;;;,26
A_HR3198;HR3198;B_HR3198;;;;;;;;,26
B_BETCRT;BETCRT;A_BETCRT;C_BETCRT;;;;;;;,26
B_HR4871;C_HR4871;A_HR4871;HR4871;;;;;;;,26
WASP36;WASP-36;;;;;;;;;,26
NGC2345NO50;NGC2345NO.50;;;;;;;;;,26
SW1303-4123;HATS700-010;;;;;;;;;,26
HD23127;;;;;;;;;;,26
HD27631;;;;;;;;;;,26
BD+144559;;;;;;;;;;,26
EPIC212165841;;;;;;;;;;,26
J0040+01;;;;;;;;;;,26
J1934-42;;;;;;;;;;,26
TOI-451;;;;;;;;;;,26
TOI-1064;;;;;;;;;;,26
J1258-58;;;;;;;;;;,26
TIC 318013179;TIC318013179;;;;;;;;;,26
TOI-615;;;;;;;;;;,26
CD-71   59;;;;;;;;;;,26
HD138549;;;;;;;;;;,25
HD219249;;;;;;;;;;,25
HD223282;;;;;;;;;;,25
HD224393;;;;;;;;;;,25
HD67;;;;;;;;;;,25
HD38277;;;;;;;;;;,25
HD33725;;;;;;;;;;,25
GL83.1;;;;;;;;;;,25
HD8859;;;;;;;;;;,25
HD95521;;;;;;;;;;,25
HD86140;;;;;;;;;;,25
HD82783;;;;;;;;;;,25
HD97320;;;;;;;;;;,25
HD115585;;;;;;;;;;,25
HD89920;;;;;;;;;;,25
HIP65924;;;;;;;;;;,25
HD174545;;;;;;;;;;,25
GL569A;;;;;;;;;;,25
KX-AQR;HD213379;2231_KX-AQR;;;;;;;;,25
HD161256;;;;;;;;;;,25
HD60753;;;;;;;;;;,25
HV877;;;;;;;;;;,25
HV876;;;;;;;;;;,25
IC4651NO10393;E8;;;;;;;;;,25
HD143114;HIP78330;;;;;;;;;,25
HD205591;;;;;;;;;;,25
HD141513;;;;;;;;;;,25
HD74873;A_50CNC;B_50CNC;50CNC;D_50CNC;C_50CNC;;;;;,25
GJ606;BD-074156;;;;;;;;;,25
HD200083;;;;;;;;;;,25
HR_3862;;;;;;;;;;,25
HD186194;;;;;;;;;;,25
HD224538;;;;;;;;;;,25
GJ3018A;;;;;;;;;;,25
HD219449;;;;;;;;;;,25
IRA01_E1_0330;COROT-EXO-4;TLS-2;;;;;;;;,25
HD66653;HIP39330;;;;;;;;;,25
HD221950;;;;;;;;;;,25
HD7345;;;;;;;;;;,25
32HYA;A_32HYA;B_32HYA;C_32HYA;D_32HYA;;;;;;,25
HR4313;A_HR4313;B_HR4313;C_HR4313;D_HR4313;;;;;;,25
HR5163;B_HR5163;C_HR5163;A_HR5163;D_HR5163;;;;;;,25
HIP114328;;;;;;;;;;,25
HD5891;HD005891;;;;;;;;;,25
J0954-45;;;;;;;;;;,25
J0500-46;;;;;;;;;;,25
FW_LUP;;;;;;;;;;,25
J0941-31;;;;;;;;;;,25
J1418-29;;;;;;;;;;,25
HD 176386;HD176386;;;;;;;;;,25
J0535-08;;;;;;;;;;,25
J0610-56;;;;;;;;;;,25
TIC 100504488;;;;;;;;;;,25
HD100623;;;;;;;;;;,24
HD185615;;;;;;;;;;,24
HD7134;;;;;;;;;;,24
HD223854;;;;;;;;;;,24
HD28701;;;;;;;;;;,24
HD72579;;;;;;;;;;,24
HD10002;;;;;;;;;;,24
HD88084;;;;;;;;;;,24
HD11505;;;;;;;;;;,24
HD105837;;;;;;;;;;,24
HD106275;;;;;;;;;;,24
HD106290;;;;;;;;;;,24
HR-3462;HR3462;;;;;;;;;,24
GL465;;;;;;;;;;,24
HIP101846;;;;;;;;;;,24
HD168769;;;;;;;;;;,24
HD001466;HD1466;;;;;;;;;,24
HD101644;;;;;;;;;;,24
U1;;;;;;;;;;,24
IC2714NO87;IC2714NO.87;;;;;;;;;,24
HD102195;;;;;;;;;;,24
HD171665;HD 171665;;;;;;;;;,24
HD160613;;;;;;;;;;,24
HD17848;;;;;;;;;;,24
HD144411;;;;;;;;;;,24
HD54834;A_HD54834;B_HD54834;;;;;;;;,24
HIP57459;GJ443;;;;;;;;;,24
NGC5822NO201;NGC5822NO.201;;;;;;;;;,24
GJ618.1;;;;;;;;;;,24
HD154672;HIP83983;;;;;;;;;,24
HD191122;HD 191122;;;;;;;;;,24
HD147873;HIP80486;;;;;;;;;,24
GJ3530;;;;;;;;;;,24
HD-142527;HD142527_8_3;SERAM-1556-4219;;;;;;;;,24
GJ3874;;;;;;;;;;,24
OBJ1194;M67-1194;;;;;;;;;,24
HD-90569;;;;;;;;;;,24
LX_MUS;LX MUS;;;;;;;;;,24
HD090905;;;;;;;;;;,24
HD000017;GJ4353;;;;;;;;;,24
V945 CEN;V945-CEN;HD112409;;;;;;;;,24
VE 6-23;VELA-1-95;;;;;;;;;,24
HD-136298;;;;;;;;;;,24
HD-132058;;;;;;;;;;,24
HD173282;;;;;;;;;;,24
HIP-67620;;;;;;;;;;,24
HD218860;;;;;;;;;;,24
V MS LUP;CPD-43-7188;;;;;;;;;,24
HD000006;GJ3332;GJ3331A;;;;;;;;,24
EPS-CAR;;;;;;;;;;,24
GAM-CRU;;;;;;;;;;,24
ALF-PSC;;;;;;;;;;,24
SW0551-4915;;;;;;;;;;,24
HD153948;;;;;;;;;;,24
HD112381;;;;;;;;;;,24
HD102272;;;;;;;;;;,24
KZ CEN;KZ_CEN;V KZ CEN;;;;;;;;,24
J0432-33;;;;;;;;;;,24
HD145467;;;;;;;;;;,24
HD108904;;;;;;;;;;,24
TOI-118;;;;;;;;;;,24
TOI-181;;;;;;;;;;,24
TIC358107516;;;;;;;;;;,24
TOI-429;TIC259592689;LEHPM 3848;TYC 8510-1536-1;;;;;;;,24
TOI-941;;;;;;;;;;,24
J0250-65;;;;;;;;;;,24
J0641-74;;;;;;;;;;,24
EPIC 219388192;;;;;;;;;;,24
TIC209464063;;;;;;;;;;,24
TIC13072758;;;;;;;;;;,24
TOI-913;;;;;;;;;;,24
HD 300730;;;;;;;;;;,24
HD204385;;;;;;;;;;,23
HD216777;;;;;;;;;;,23
HD218249;;;;;;;;;;,23
HD11507;;;;;;;;;;,23
HD25673;;;;;;;;;;,23
HD21938;;;;;;;;;;,23
HD25704;HD25704A;;;;;;;;;,23
HD14747;;;;;;;;;;,23
HD12345;;;;;;;;;;,23
HD214385;;;;;;;;;;,23
HD124364;;;;;;;;;;,23
HD117359;;;;;;;;;;,23
HD84627B;;;;;;;;;;,23
HD89965;;;;;;;;;;,23
HD134985;;;;;;;;;;,23
CD-71-1234;;;;;;;;;;,23
HD167554;;;;;;;;;;,23
HIP107772;;;;;;;;;;,23
HD154417;V V2213 OPH;;;;;;;;;,23
AA-TAU;;;;;;;;;;,23
HD-53116;;;;;;;;;;,23
HD-50169;;;;;;;;;;,23
HD65114;;;;;;;;;;,23
HD101650;;;;;;;;;;,23
HV1005;;;;;;;;;;,23
NGC4349NO174;;;;;;;;;;,23
HD140637;;;;;;;;;;,23
HD181249;;;;;;;;;;,23
HD168870;;;;;;;;;;,23
HD177122;;;;;;;;;;,23
HD139879;;;;;;;;;;,23
HD198390;;;;;;;;;;,23
NGC2539NO251;;;;;;;;;;,23
HD38678;;;;;;;;;;,23
HD113569;;;;;;;;;;,23
HD223681;CL_PHE;;;;;;;;;,23
HD214100;GJ864;;;;;;;;;,23
ALF-RET;HD-27256;;;;;;;;;,23
HD219630;;;;;;;;;;,23
NGC2567NO37;;;;;;;;;;,23
ETA-PAV;HD-160635;;;;;;;;;,23
LRC01_E1_0523;COROT-EXO-3;;;;;;;;;,23
NGC6705NO160;;;;;;;;;;,23
GJ620;;;;;;;;;;,23
GJ1161B;;;;;;;;;;,23
LRC02_E1_0591;;;;;;;;;;,23
GJ179;;;;;;;;;;,23
OBJ291;M67-291;;;;;;;;;,23
OBJ1137;SAND1016;S1016;;;;;;;;,23
V1041_SCO;;;;;;;;;;,23
V4089_SGR;1934_V4089_SGR;;;;;;;;;,23
