target,count,ra,e_ra,dec,e_dec
HD139211,1521,234.9871731060552,0.0024320773636325095,-59.909677120315585,0.0019713210550163017
HD-209625,1287,331.19589846446,0.002529355190742217,-0.9081782362082362,0.0008526220176438673
HD49933,1274,102.70857995738618,0.001730433104451921,-0.5423152354788069,0.001428953049625292
HD85512,1263,147.76109790060175,0.788104610328639,-43.45835814726841,1.6572219539980768
HD115617,1233,199.60021045855638,0.0024775106530962833,-18.313307648012977,0.0015320893284656507
HD23249,1172,55.81217359758532,0.0014539425740162746,-9.76023406996587,0.0016081470330233188
HD46375,1160,98.30354814393104,0.0010363622275446423,5.460557862068965,0.0009352983485512287
HD-101065,1123,174.40717011430988,0.0012882994852961504,-46.710449928762245,0.0008310568161372676
HD48915,1117,101.2852410927932,0.0010557636540520375,-16.719483178155773,0.0023812136633137577
HD209100,1108,330.85301812430504,0.3215243515989458,-56.781734458483754,0.41653270226020805
HD167858,1084,274.2715764375923,0.0032503400994166615,1.0059459132841329,0.0009078173858983504
HR509,986,26.01501992764706,0.0019274236623852013,-15.938332626774848,0.0016849040993521707
HD65907A,959,119.4491381496976,0.003963513114229134,-60.303708248175184,0.002850688569518416
HD 199288,954,314.4127908834696,0.0010776308916947972,-44.135842264150945,0.0015922568767749736
ALF CEN B,925,219.8493112795135,0.002333783008310724,-60.83453012972973,0.0027976301010523004
HD39060,903,86.82438292356589,0.0022369161542641126,-51.066878438538204,0.0017758989161783254
HD188228,887,300.1473284652311,0.008657935791183135,-72.90973093573845,0.0018513989352249586
HD109200,882,188.38330789674603,0.26467992647623484,-68.73935383219954,0.549242805138098
HD154577,861,257.5438814398723,0.0027015310705931625,-60.72777609756098,0.0011327839177982587
BETCEN,800,210.95455127534998,0.0017302716458603173,-60.375464599999994,0.0014631276493054562
SUN,779,230.08070751993583,66.97959185327291,-37.55318629011553,13.27887036721741
HD136352,724,230.4453232667818,0.0028659180886755867,-48.31877447513812,0.001352477517909433
HD72673,690,128.21082860992755,0.0020832156618780114,-31.499368623188406,0.0035190416692601036
HD69830,689,124.60116981656023,0.002478180402810935,-12.634662031930333,0.002147789410913159
HD189567,663,301.3935894636953,0.004723950504783338,-67.32317479638009,0.0014761011289942028
HD114613,655,198.01163266554198,0.0025400465553131234,-37.80367583206107,0.001901082872466982
HD-190248,615,302.18780127878046,0.002383460241686158,-66.18311938211382,0.000828774423054837
HD-160691,568,266.0385423125176,0.0024525612527504935,-51.83535413732394,0.0014379069256357246
HD39091,559,84.29272586822898,0.013331347430846264,-80.4621147942755,0.002501063054041287
HD59468,559,111.85647868617174,0.0025051247788424073,-51.403626618962434,0.0010677814317932466
HD172555,537,281.3602360346369,0.003538039493435109,-64.87291225325883,0.0008132886225182468
HD1461,531,4.677449621431261,0.0027509845647576605,-8.052520037664783,0.0014754260013213262
HD22049,526,53.23076657203422,0.00212331536875503,-9.456856539923953,0.0009789999782687637
HD102365,525,176.62615957702857,0.0034686756361372757,-40.49990003809524,0.0017022526606453108
TAU CET,510,26.006767059843135,0.0011867089530216135,-15.93238450980392,0.002208334377287148
ALPHADOR,498,68.4985631185743,0.0013850122774367152,-55.04677427710843,0.001365791749178849
HD40307,487,88.51830376447639,0.002860716561983795,-60.02431747433265,0.001166823264117959
HD209625,475,331.19471436705265,0.00185322490348106,-0.9053549894736842,0.0008807103899852528
HD207129,473,327.0664342380338,0.001764232289718511,-47.3038421987315,0.0022824131934988143
HD144628,465,242.42697581150537,0.002313798280591772,-56.44501075268817,0.0009567615958035009
HD26965,460,63.81222743119565,0.004571639177181777,-7.663307043478261,0.007431696671886747
HD4308,439,57.86811317615034,117.51489935767631,-57.236942050113896,21.172898376925588
E ERI,438,50.00700852296804,0.002218284821141865,-43.066684018264844,0.0018413286963782644
HD146624,403,244.5749241882382,0.001915969085678338,-28.613430843672457,0.001070486839017867
GJ887,402,346.5113307367413,0.002355740380081343,-35.84730527363184,0.0012999234774173324
