seqn, name         ,            identifier             ,typ,     ICRS_J2000                    ,      Ecl_J2000                    ,      Gal_J2000                    ,       pm       ,   plx   ,   radvel   ,  MagU   ,  MagB   ,  MagV   ,  MagR   ,  MagG   ,  MagI   ,  MagJ   ,  MagH   ,  MagK   ,  Magu   ,  Magg   ,  Magr   ,  Magi   ,  Magz   ,  spec_type    ,        morph_type         ,      ang_size       ,nparents,nchildren,nsiblings,nbib,nnotes
28  ,PNG 000.9-04.8,PN M 3-23                          ,PN ,271.77567 -30.57161                ,271.54074 -07.14181                ,000.92398 -04.85348                ,                ,         ,-155        ,         ,         ,14.50    ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.200 0.200          ,0       ,0        ,0        ,  57,   0
29  ,PNG 001.0+01.9,PN K 1-4                           ,PN ,265.11467 -27.01725                ,265.64003 -03.65186                ,001.03402 +01.97783                ,                ,         ,10887       ,         ,         ,15.00    ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.767 0.767          ,0       ,0        ,0        ,  47,   1
30  ,PNG 001.0-02.6,PN Sa 3-104                        ,PN ,269.6075 -29.3469                  ,269.6561 -05.9081                  ,001.0721 -02.6160                  ,                ,         ,87.0        ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  27,   0
31  ,PNG 001.1-01.6,PN Sa 3-92                         ,PN ,268.716925 -28.815372              ,268.870850 -05.381105              ,001.141947 -01.676113              ,                ,         ,            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  24,   0
32  ,PNG 001.2+02.1,WRAY 17-94                         ,PN ,265.05350 -26.73942                ,265.57590 -03.37605                ,001.24087 +02.17132                ,                ,         ,-172.4      ,         ,         ,16.00    ,         ,         ,         ,13.779   ,         ,12.550   ,         ,         ,         ,         ,         ,               ,                           ,0.053 0.053          ,0       ,0        ,0        ,  55,   1
33  ,PNG 001.2-03.0,PN H 1-47                          ,PN ,270.1567508395300 -29.3640662847900,270.1373521876737 -05.9248443791676,001.2949377607330 -03.0402013260887,   1.323 -7.017 ,0.0912   ,107.5       ,         ,         ,15.60    ,         ,15.703515,         ,13.371   ,13.035   ,12.440   ,         ,         ,         ,         ,         ,[WC11]?        ,                           ,                     ,0       ,0        ,0        ,  72,   0
34  ,PNG 001.2-03.9,PN ShWi 5                          ,Sy*,270.9737132906499 -29.8561468289000,270.8498059470255 -06.4197224811930,001.2148205044086 -03.9005666007812,  -3.597 -5.626 ,         ,-92         ,         ,         ,         ,15.78    ,15.249871,         ,13.08    ,12.47    ,11.87    ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  35,   2
35  ,PNG 001.3-01.2,PN Bl M                            ,PN ,268.446325 -28.454753              ,268.628797 -05.022851              ,001.333075 -01.288881              ,                ,         ,            ,         ,         ,16.6     ,         ,         ,         ,         ,         ,12.69    ,         ,         ,         ,         ,         ,               ,                           ,0.077 0.077          ,0       ,0        ,0        ,  39,   0
36  ,PNG 001.4+05.3,PN H 1-15                          ,PN ,262.1567859884399 -24.8520052525000,262.8842420729649 -01.6062371782828,001.4238618311784 +05.3852991506420,  -6.045 -3.809 ,0.1501   ,42          ,         ,         ,15.10    ,         ,15.843609,         ,13.811   ,13.610   ,12.957   ,         ,         ,         ,         ,         ,               ,                           ,0.073 0.073          ,0       ,0        ,0        ,  57,   0
37  ,PNG 001.4-03.4,PN ShWi 1                          ,PN ,270.60771 -29.41817                ,270.53225 -05.97999                ,001.44157 -03.40881                ,                ,         ,-40         ,         ,         ,         ,         ,         ,         ,13.447   ,12.831   ,12.560   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  23,   1
38  ,PNG 001.5-06.7,PN SwSt 1                          ,PN ,274.0511808768200 -30.8688629386100,273.5064152634033 -07.4788628978138,001.5906408966705 -06.7176234404212,  -6.238 -1.720 ,0.3432   ,-8.10       ,         ,12.1     ,11.10    ,         ,11.842378,         ,10.517   ,10.151   ,8.986    ,         ,         ,         ,         ,         ,[WC9/10]       ,                           ,0.05000000 0.02913000,0       ,0        ,0        , 286,   0
39  ,PNG 001.6-01.3,PN Bl Q                            ,PN ,268.6456919528199 -28.2119879255000,268.8024464493607 -04.7783210307746,001.6313367347708 -01.3174317920913,  -2.910 -1.689 ,0.4266   ,            ,         ,         ,17.30    ,         ,17.265627,         ,13.623   ,12.875   ,12.281   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  32,   0
40  ,PNG 001.7+05.7,PN H 1-14                          ,PN ,262.0072983262299 -24.4231433976900,262.7250134891607 -01.1854678856086,001.7091992870227 +05.7342008507003,  -7.140 -8.127 ,         ,40          ,         ,         ,15.50    ,         ,19.638071,         ,14.760   ,14.465   ,13.483   ,         ,         ,         ,         ,         ,               ,                           ,0.110 0.110          ,0       ,0        ,0        ,  45,   0
41  ,PNG 001.7-01.6,PN H 2-31                          ,PN ,269.009792 -28.236489              ,269.124570 -04.800201              ,001.771904 -01.606867              ,                ,         ,120.0       ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  28,   0
42  ,PNG 001.7-04.4,PN H 1-55                          ,PN ,271.8106630257700 -29.6901811391500,271.5823350398828 -06.2608293580009,001.7135899581510 -04.4554114807704,   -2.445 1.415 ,0.0361   ,-3          ,         ,         ,16.30    ,         ,16.601326,         ,14.191   ,13.875   ,13.160   ,         ,         ,         ,         ,         ,               ,                           ,0.04033333 0.04001200,0       ,0        ,0        ,  73,   0
43  ,PNG 001.7-04.6,PN H 1-56                          ,PN ,271.9745175128700 -29.7428718918800,271.7247890064804 -06.3153962803709,001.7359911607347 -04.6055066262481,  -4.002 -9.423 ,0.0921   ,-134        ,         ,         ,15.00    ,         ,15.981589,         ,14.211   ,         ,13.584   ,         ,         ,         ,         ,         ,O?             ,                           ,                     ,0       ,0        ,0        ,  79,   0
