seqn, name         ,            identifier             ,typ,     ICRS_J2000                    ,      Ecl_J2000                    ,      Gal_J2000                    ,       pm       ,   plx   ,   radvel   ,  MagU   ,  MagB   ,  MagV   ,  MagR   ,  MagG   ,  MagI   ,  MagJ   ,  MagH   ,  MagK   ,  Magu   ,  Magg   ,  Magr   ,  Magi   ,  Magz   ,  spec_type    ,        morph_type         ,      ang_size       ,nparents,nchildren,nsiblings,nbib,nnotes
543 ,PNG 117.5+18.9,IC 1454                            ,PN ,340.6025799965500 +80.4420130847200,065.3727248697498 +67.9233324910141,117.5555641249203 +18.9463594428539,  -2.647 -0.312 ,0.3310   ,            ,         ,         ,         ,         ,18.815956,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.567 0.567          ,0       ,0        ,0        ,  64,   0
544 ,PNG 118.0-08.6,PN Vy 1-1                          ,PN ,004.6757217906400 +53.8721607286100,031.8729976434354 +46.2145405064557,118.0615602328837 -08.6897425848134,   0.943 -0.160 ,0.1962   ,-50.4       ,         ,         ,         ,         ,14.142607,         ,12.770   ,12.414   ,11.806   ,         ,         ,         ,         ,         ,[WC]           ,                           ,0.257 0.216          ,0       ,0        ,0        , 126,   0
545 ,PNG 118.7+08.2,PN A66 86                          ,PN ,000.379058 +70.708314              ,048.805131 +59.893552              ,118.794955 +08.238608              ,                ,         ,            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  24,   0
546 ,PNG 118.8-74.7,NGC 246                            ,PN ,011.7639251423400 -11.8719364239100,006.0311464617471 -15.5520028790682,118.8633963318963 -74.7090557404442, -16.914 -9.240 ,1.7993   ,-15.70      ,10.15    ,11.52    ,11.76    ,12.18    ,11.796779,         ,12.61    ,12.79    ,12.87    ,         ,         ,         ,         ,         ,PG1159         ,                           ,3.733 3.733          ,0       ,0        ,0        , 466,   0
547 ,PNG 119.3+00.3,PN BV 1                            ,PN ,005.001875 +62.984211              ,040.808385 +53.284510              ,119.371547 +00.329942              ,                ,         ,-71.9       ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.693 0.693          ,0       ,0        ,0        ,  54,   0
548 ,PNG 119.4+06.5,PN A66 1                           ,PN ,003.2292 +69.1733                  ,047.7034 +58.1647                  ,119.4995 +06.5587                  ,                ,         ,            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.783 0.783          ,0       ,0        ,0        ,  31,   0
549 ,PNG 119.6-06.7,PN Hu 1-1                          ,PN ,007.064312 +55.965133              ,035.266386 +47.132957              ,119.669485 -06.759707              ,                ,         ,-53.7       ,         ,         ,         ,         ,         ,         ,13.267   ,12.943   ,12.252   ,         ,         ,         ,         ,         ,               ,                           ,0.217 0.199          ,0       ,0        ,0        , 159,   1
550 ,PNG 120.0+09.8,NGC 40                             ,PN ,003.2542375405200 +72.5219537052000,052.8006626898882 +60.2665345592235,120.0161999068722 +09.8680649562251,  -7.260 -1.848 ,0.5612   ,-20.50      ,         ,11.63    ,11.46    ,         ,11.456248,         ,10.890   ,10.796   ,10.384   ,         ,         ,         ,         ,         ,[WC8]          ,                           ,0.10000000 0.76670170,0       ,0        ,0        , 602,   2
551 ,PNG 120.2-05.3,SH 2-176                           ,PN ,007.9729 +57.3758                  ,037.0884 +47.9860                  ,120.2880 -05.3955                  ,                ,         ,-37.0       ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  48,   0
552 ,PNG 121.6+03.5,PN G121.6+03.5                     ,PN ,009.725742 +66.396842              ,047.225503 +54.470880              ,121.675285 +03.555684              ,                ,         ,-77.3       ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.317 0.317          ,0       ,0        ,0        ,  25,   0
553 ,PNG 121.6-00.0,PN BV 2                            ,PN ,010.090058 +62.859522              ,043.574146 +51.690029              ,121.668978 +00.014942              ,                ,         ,-39.0       ,         ,         ,21.5     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  33,   0
554 ,PNG 122.1-04.9,PN A66 2                           ,PN ,011.394492 +57.959689              ,039.803277 +47.394783              ,122.151933 -04.903184              ,                ,         ,-41.8       ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.517 0.517          ,0       ,0        ,0        ,  61,   0
555 ,PNG 123.6+34.5,IC 3568                            ,PN ,188.2785621508900 +82.5639451787800,108.7476983678415 +66.5170002441924,123.6508924520572 +34.5387107850927,   1.540 -2.422 ,0.4414   ,-39.9       ,         ,11.809   ,10.730   ,12.651   ,12.866844,         ,11.368   ,11.398   ,10.844   ,         ,10.791   ,11.782   ,12.387   ,         ,               ,                           ,0.350 0.315          ,0       ,0        ,0        , 396,   0
556 ,PNG 124.0+10.7,PN HDW 1                           ,PN ,016.7817639208500 +73.5565132442800,059.3029838680739 +57.9349805898876,124.0611132040443 +10.7191732237324, 18.860 -11.545 ,3.1192   ,            ,         ,16.308   ,16.439   ,16.452   ,16.394623,16.482   ,16.639   ,         ,         ,         ,         ,         ,         ,         ,DA             ,                           ,                     ,0       ,0        ,0        ,  44,   0
557 ,PNG 124.3-07.7,PN WeSb 1                          ,PN ,015.222129 +55.063303              ,040.022947 +43.814659              ,124.297271 -07.783389              ,                ,         ,            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  15,   0
558 ,PNG 125.9-47.0,PG 0057+155                        ,HS*,014.9861140415600 +15.7371500790500,019.8817842818073 +08.6176569115135,125.9387551480808 -47.0849283618324,   35.387 5.499 ,3.0997   ,22          ,         ,12.02    ,12.32    ,         ,12.040162,         ,12.696   ,12.818   ,12.865   ,         ,         ,         ,         ,         ,sdB0.2VIIIpHe8 ,                           ,4.500 4.500          ,0       ,0        ,0        , 119,   1
559 ,PNG 126.3+02.9,PN K 3-90                          ,PN ,021.2442334715700 +65.6433605957000,052.4188117314392 +50.9303293633692,126.3844028607819 +02.9966855378419,   -2.254 0.368 ,0.4049   ,-49.4       ,         ,         ,         ,         ,18.806620,         ,14.554   ,14.163   ,13.339   ,         ,         ,         ,         ,         ,               ,                           ,0.177 0.163          ,0       ,0        ,0        ,  42,   0
560 ,PNG 128.0-04.1,SH 2-188                           ,PN ,022.6382410731300 +58.4139793016300,047.2967363207989 +44.5367239827145,128.0486741978498 -04.0686367464228,   5.696 -4.181 ,1.0599   ,-26.0       ,         ,17.424   ,17.447   ,17.398   ,17.366488,17.376   ,         ,         ,         ,         ,         ,         ,         ,         ,DAO.6          ,                           ,                     ,0       ,0        ,0        ,  99,   1
561 ,PNG 129.2-02.0,PN G129.2-02.0                     ,PN ,025.658333 +60.162367              ,050.430430 +45.248186              ,129.264129 -02.078453              ,                ,         ,            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,3.233 3.233          ,0       ,0        ,0        ,  19,   0
562 ,PNG 129.5+04.5,PN K 3-91                          ,PN ,029.6511228838900 +66.5662492734000,057.6417925312884 +49.7780348467195,129.5502087043116 +04.5614288158202,                ,         ,            ,         ,         ,         ,         ,20.817127,         ,13.417   ,12.550   ,11.894   ,         ,         ,         ,         ,         ,               ,                           ,0.287 0.229          ,0       ,0        ,0        ,  34,   0
563 ,PNG 130.2+01.3,IC 1747                            ,PN ,029.3987080012700 +63.3217909246600,054.9519434206210 +47.0661075974524,130.2772793310942 +01.3974402143768,   -0.877 1.019 ,0.262    ,-62.7       ,         ,15.8     ,15.4     ,         ,15.800707,         ,12.124   ,11.879   ,11.033   ,         ,         ,         ,         ,         ,[WC4]          ,                           ,0.283 0.278          ,0       ,0        ,0        , 257,   2
564 ,PNG 130.3-11.7,PN M 1-1                           ,PN ,024.3306766407800 +50.4698177970100,043.3457413241265 +37.1090384102624,130.3602092172623 -11.7389538644552,  -1.618 -0.262 ,0.1439   ,-38.0       ,         ,13.07    ,13.91    ,         ,17.716625,         ,14.045   ,13.691   ,13.214   ,         ,         ,         ,         ,         ,               ,                           ,0.190 0.156          ,0       ,0        ,0        , 139,   0
565 ,PNG 130.4+03.1,PN K 3-92                          ,PN ,030.921546 +64.960522              ,057.038758 +48.136903              ,130.483821 +03.153450              ,                ,         ,-61.7       ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.217 0.217          ,0       ,0        ,0        ,  43,   0
566 ,PNG 130.9-10.5,M 76                               ,PN ,025.5818990534200 +51.5754263805700,044.8608257360166 +37.7367034544137,130.9335270448223 -10.5039545075556,   2.586 -2.959 ,0.2945   ,-23.6       ,         ,         ,17.48    ,         ,17.415468,17.69    ,         ,         ,         ,         ,         ,         ,         ,         ,DOZ            ,                           ,2.307 2.307          ,0       ,0        ,0        , 366,   2
567 ,PNG 131.4-05.4,PN G131.4-05.4                     ,PN ,028.264300 +56.404753              ,049.555435 +41.300389              ,131.422689 -05.447786              ,                ,         ,-59.0       ,         ,10.3     ,10.3     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  32,   0
568 ,PNG 131.5+02.6,PN A66 3                           ,PN ,033.0277646754200 +64.1506480170600,057.5997755142606 +46.9831358613186,131.5870058809010 +02.6429752010606,  -1.156 -0.009 ,0.4359   ,            ,         ,         ,         ,         ,17.170164,         ,15.201   ,14.621   ,14.500   ,         ,         ,         ,         ,         ,               ,                           ,1.000 1.000          ,0       ,0        ,0        ,  51,   0
569 ,PNG 132.4+04.7,PN K 3-93                          ,PN ,036.625063 +65.798081              ,060.737986 +47.693730              ,132.473756 +04.703009              ,                ,         ,            ,         ,         ,         ,         ,         ,         ,15.957   ,14.989   ,13.161   ,         ,         ,         ,         ,         ,               ,                           ,0.140 0.140          ,0       ,0        ,0        ,  26,   0
570 ,PNG 133.1-08.6,V* V471 Per                        ,EB*,029.7069360661800 +52.8967952218200,048.4659238392907 +37.7938608885172,133.1178496677037 -08.6370273730464,   0.459 -2.286 ,0.3829   ,-22.91      ,         ,14.06    ,13.08    ,         ,12.561855,         ,11.023   ,10.397   ,9.932    ,         ,         ,         ,         ,         ,G2Ib           ,                           ,                     ,0       ,0        ,0        , 170,   1
571 ,PNG 136.1+04.9,PN A66 6                           ,PN ,044.674471 +64.501756              ,064.322734 +45.050136              ,136.098658 +04.933985              ,                ,         ,            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,3.100 3.100          ,0       ,0        ,0        ,  43,   0
572 ,PNG 136.3+05.5,PN HFG 1                           ,PN ,045.9458736512600 +64.9098660212000,065.2589488987569 +45.2093984358125,136.3808179981225 +05.5525910908555,   7.946 -4.882 ,1.4133   ,-26.0       ,         ,         ,14.56    ,13.99    ,13.992714,         ,12.928   ,12.677   ,12.578   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        , 103,   0
573 ,PNG 138.1+04.1,PN HDW 2                           ,PN ,047.755504 +62.795850              ,065.171003 +42.951078              ,138.133455 +04.119323              ,                ,         ,            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  30,   0
574 ,PNG 138.8+02.8,IC 289                             ,PN ,047.5804230537600 +61.3169204231700,064.3438906790778 +41.6021909016224,138.8168395093056 +02.8045343516666,  -2.792 -3.893 ,0.6345   ,-13.4       ,         ,16.8     ,         ,         ,16.403204,         ,15.587   ,15.616   ,15.144   ,         ,         ,         ,         ,         ,               ,                           ,0.76454663 0.76454335,0       ,0        ,0        , 152,   1
575 ,PNG 141.7-07.8,PN A66 5                           ,PN ,043.062796 +50.598350              ,056.663302 +32.449239              ,141.734892 -07.809860              ,                ,         ,            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,2.123 2.123          ,0       ,0        ,0        ,  38,   0
576 ,PNG 142.1+03.4,PN K 3-94                          ,PN ,054.033692 +60.062858              ,067.718064 +39.375389              ,142.149676 +03.487347              ,                ,         ,            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.167 0.167          ,0       ,0        ,0        ,  43,   0
577 ,PNG 143.6+23.8,EGB 4                              ,CV*,097.3915001474500 +71.0767762815500,093.5560773775162 +47.7287089514449,143.5954694980983 +23.8182620341036, -2.291 -28.805 ,2.672    ,-74.0       ,         ,13.29    ,13.27    ,13.04    ,12.965879,         ,13.363   ,13.155   ,13.034   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        , 142,   0
578 ,PNG 144.3-15.5,PN A66 4                           ,PN ,041.3496 +42.5508                  ,052.3000 +25.2677                  ,144.3229 -15.5382                  ,                ,         ,0           ,         ,15.6     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.333 0.333          ,0       ,0        ,0        ,  44,   1
579 ,PNG 144.5+06.5,NGC 1501                           ,PN ,061.7474670455500 +60.9206329283400,072.7392395231371 +39.1634012823569,144.5604290731865 +06.5510318417991,   2.143 -5.261 ,0.5789   ,36.9        ,         ,15.17    ,13.0     ,         ,14.236506,         ,13.198   ,12.918   ,12.788   ,         ,         ,         ,         ,         ,[WO4]          ,                           ,0.863 0.863          ,0       ,0        ,0        , 288,   1
580 ,PNG 146.7+07.6,PN M 4-18                          ,PN ,066.4618150678100 +60.1202167907500,075.4027033959439 +37.8681629789667,146.7948839185880 +07.6012491879696,   0.717 -0.755 ,0.1528   ,-17.0       ,         ,14.22    ,13.96    ,         ,13.664927,         ,12.377   ,11.965   ,11.219   ,         ,         ,         ,         ,         ,[WC11]         ,                           ,0.063 0.063          ,0       ,0        ,0        , 173,   0
581 ,PNG 147.4-02.3,PN M 1-4                           ,PN ,055.4309130707300 +52.2834076255100,065.9237567022438 +31.6946448430240,147.4005039174593 -02.3068675125289,   0.318 -1.076 ,0.1613   ,-33.0       ,         ,15.86    ,14.27    ,15.26    ,18.091398,         ,12.529   ,12.204   ,11.245   ,         ,         ,         ,         ,         ,               ,                           ,0.210 0.197          ,0       ,0        ,0        , 116,   1
582 ,PNG 147.8+04.1,PN M 2-2                           ,PN ,063.3126193527100 +56.9495577246100,072.5764345420653 +35.1134095622521,147.8721469865155 +04.1952829475393,    0.288 1.870 ,0.211    ,-7.0        ,         ,         ,         ,         ,15.823542,         ,12.501   ,11.974   ,10.932   ,         ,         ,         ,         ,         ,               ,                           ,0.273 0.262          ,0       ,0        ,0        ,  87,   0
583 ,PNG 148.4+57.0,M 97                               ,PN ,168.6988012282500 +55.0190230089100,142.6535525243914 +44.9947720327761,148.4895345685390 +57.0499561582628,    0.076 1.214 ,1.2347   ,0           ,         ,15.414   ,15.777   ,15.960   ,15.719265,16.194   ,16.71    ,         ,         ,14.277   ,10.934   ,11.586   ,13.010   ,13.178   ,               ,                           ,3.333 3.333          ,0       ,0        ,0        , 337,   1
584 ,PNG 149.0+04.4,PN K 4-47                          ,PN ,065.1884246176400 +56.3033653092600,073.6381290675399 +34.2648147376357,149.0656440031580 +04.4518579628403,                ,         ,            ,         ,         ,         ,         ,21.833895,         ,16.232   ,15.446   ,13.874   ,         ,         ,         ,         ,         ,               ,                           ,0.167 0.167          ,0       ,0        ,0        ,  64,   0
585 ,PNG 149.4-09.2,PN HDW 3                           ,PN ,051.8142200862500 +45.4056641135800,061.2016123934950 +25.7104675345555,149.4995180290019 -09.2766931468639,    0.348 6.777 ,1.0916   ,            ,         ,17.084   ,17.187   ,17.218   ,17.122591,17.234   ,17.481   ,17.621   ,17.494   ,         ,         ,         ,         ,         ,DAO.6          ,                           ,                     ,0       ,0        ,0        ,  43,   1
586 ,PNG 149.7-03.3,PN IsWe 1                          ,PN ,057.2746056583700 +50.0041384772200,066.5445482754381 +29.1955325994334,149.7147195884943 -03.3976160751512,  18.154 -7.641 ,2.3504   ,-1.5        ,15.71    ,16.374   ,16.523   ,16.576   ,16.465902,16.644   ,         ,         ,         ,         ,         ,         ,         ,         ,DOZ            ,                           ,                     ,0       ,0        ,0        ,  59,   1
587 ,PNG 151.4+00.5,PN K 3-64                          ,PN ,063.363563 +51.850256              ,071.325984 +30.123815              ,151.401632 +00.511289              ,                ,         ,            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  22,   0
588 ,PNG 153.7+22.8,PN A66 16                          ,PN ,100.9809086859700 +61.7901825369500,096.6161674180832 +38.6028495873668,153.7699675533959 +22.8321065692053,   2.077 -1.232 ,0.7619   ,            ,         ,18.517   ,18.714   ,18.733   ,18.619986,18.686   ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,2.350 2.350          ,0       ,0        ,0        ,  44,   0
589 ,PNG 153.7-01.4,PN K 3-65                          ,PN ,063.97721 +48.82781                ,071.07075 +27.08437                ,153.77034 -01.40665                ,                ,         ,            ,         ,         ,         ,         ,         ,         ,16.605   ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.083 0.083          ,0       ,0        ,0        ,  21,   0
590 ,PNG 156.9-13.3,PN HaWe 5                          ,PN ,056.3611715678400 +37.8145049633300,062.6844449727852 +17.5111961307744,156.9086003319860 -13.3219510612684,  26.717 -6.016 ,3.117    ,            ,         ,17.321   ,17.439   ,17.471   ,17.390930,17.528   ,         ,         ,17.785   ,         ,         ,         ,         ,         ,DA1.3          ,                           ,                     ,0       ,0        ,0        ,  24,   1
591 ,PNG 158.8+37.1,PN A66 28                          ,PN ,130.3981456851100 +58.2301068499800,115.7938134609474 +38.3540660435446,158.8021767316524 +37.1794439480270,   2.554 -7.854 ,2.6058   ,-2.0        ,         ,16.280   ,16.557   ,16.691   ,16.496248,16.877   ,         ,         ,         ,15.907   ,16.261   ,16.726   ,17.087   ,17.409   ,DAH:           ,                           ,4.467 4.467          ,0       ,0        ,0        ,  54,   0
592 ,PNG 158.9+17.8,PN PuWe 1                          ,PN ,094.8914285612700 +55.6121965383900,093.2636042446487 +32.2283007519934,158.9218593626737 +17.8553167892853, -1.083 -21.332 ,2.5345   ,            ,         ,15.291   ,15.545   ,15.662   ,15.505041,15.792   ,         ,         ,         ,         ,         ,         ,         ,         ,DAO.5          ,                           ,6.667 6.667          ,0       ,0        ,0        ,  81,   1
593 ,PNG 159.0-15.1,IC 351                             ,PN ,056.8874193513100 +35.0468442020300,062.4571883268065 +14.7198752751427,159.0600246476214 -15.1905568127830,   0.960 -0.642 ,0.3052   ,-10.3       ,         ,13.11    ,12.27    ,14.35    ,16.392780,         ,13.848   ,13.983   ,12.178   ,         ,         ,         ,         ,         ,Of(H)          ,                           ,0.213 0.213          ,0       ,0        ,0        , 254,   0
594 ,PNG 160.5-00.5,PN G160.5-00.5                     ,PN ,071.6779 +44.4667                  ,076.0063 +21.9134                  ,160.5636 -00.5406                  ,                ,         ,            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,1.533 1.533          ,0       ,0        ,0        ,  23,   0
595 ,PNG 161.2-14.8,IC 2003                            ,PN ,059.0916184112700 +33.8752111047300,064.0227677733775 +13.1814326840668,161.2773392973730 -14.8907781162249,   0.049 -1.781 ,0.0485   ,-15.5       ,         ,13.11    ,11.87    ,13.44    ,16.070139,         ,12.433   ,12.279   ,11.507   ,         ,11.75    ,12.90    ,         ,         ,[WC3?]         ,                           ,0.263 0.211          ,0       ,0        ,0        , 249,   0
596 ,PNG 163.1-00.8,PN G163.1-00.8                     ,PN ,073.629100 +42.278028              ,077.213658 +19.562670              ,163.153470 -00.848191              ,                ,         ,            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  19,   0
597 ,PNG 164.8+31.1,PN ARO 121                         ,PN ,119.4650705155500 +53.4213751346800,110.2290659247188 +32.0317805723079,164.8064551491887 +31.1809312326074,   0.426 -1.157 ,1.0647   ,-84.3       ,         ,16.775   ,17.128   ,17.288   ,17.058159,17.501   ,         ,         ,         ,16.28    ,16.80    ,17.35    ,17.71    ,18.10    ,DQ             ,                           ,6.333 6.333          ,0       ,0        ,0        , 158,   1
598 ,PNG 165.5-06.5,PN K 3-67                          ,PN ,069.94971 +36.76183                ,073.52172 +14.46251                ,165.54328 -06.57373                ,                ,         ,-77.0       ,         ,         ,         ,         ,         ,         ,12.990   ,12.863   ,12.124   ,         ,         ,         ,         ,         ,               ,                           ,0.250 0.250          ,0       ,0        ,0        ,  72,   0
599 ,PNG 165.5-15.2,NGC 1514                           ,PN ,062.3207732806800 +30.7759641410300,066.1229202808787 +09.6023781411571,165.5337409937542 -15.2883870360291,   -6.276 3.736 ,2.2034   ,59.8        ,         ,10.01    ,9.48     ,         ,9.278481 ,         ,8.190    ,8.098    ,8.002    ,         ,         ,         ,         ,         ,sdO+A0/3III    ,                           ,1.673 1.673          ,2       ,0        ,0        , 324,   2
600 ,PNG 166.1+10.4,IC 2149                            ,PN ,089.0995882174600 +46.1047791185600,089.3234663229284 +22.6675970260691,166.1563810876763 +10.4754794179985,  -6.115 -8.542 ,0.5352   ,-33.6       ,         ,11.21    ,11.35    ,         ,11.259289,         ,10.372   ,10.308   ,9.699    ,         ,         ,         ,         ,         ,O7.5           ,                           ,0.433 0.347          ,0       ,0        ,0        , 424,   0
601 ,PNG 166.4-06.5,RAFGL 618                          ,pA*,070.7234341802500 +36.1148335839500,074.0653064195866 +13.7358039352049,166.4457864194014 -06.5275514973289,                ,         ,            ,         ,16.32    ,         ,12.59    ,18.261955,         ,13.510   ,11.410   ,8.807    ,         ,         ,         ,         ,         ,C-rich         ,                           ,0.200 0.200          ,0       ,0        ,0        , 984,   0
602 ,PNG 167.0-00.9,PN A66 8                           ,PN ,076.6600774911200 +39.1357411796800,079.2597234499464 +16.1925086454227,167.0440613424993 -00.9726984898422,   0.356 -3.976 ,0.7028   ,58.2        ,         ,         ,         ,         ,20.104549,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,1.000 1.000          ,1       ,1        ,0        ,  48,   0
603 ,PNG 167.4-09.1,PN K 3-66                          ,PN ,069.1551562981000 +33.6583540805500,072.4081336188642 +11.4833375659711,167.4629792240695 -09.1108059827244,   0.317 -0.384 ,0.2551   ,-67.5       ,         ,         ,         ,         ,15.301531,         ,13.205   ,12.957   ,12.353   ,         ,         ,         ,         ,         ,O              ,                           ,0.037 0.037          ,0       ,0        ,0        ,  72,   0
604 ,PNG 170.3+15.8,NGC 2242                           ,PN ,098.5306179172800 +44.7771633324800,096.4996022651506 +21.5301488769919,170.3136757195255 +15.8718681719390,   1.013 -1.679 ,0.3382   ,38          ,         ,14.7     ,         ,         ,16.803181,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  63,   1
605 ,PNG 170.7+04.6,PN K 3-69                          ,PN ,085.3422214552900 +39.2521904209700,086.2516373301156 +15.8734798343918,170.7398437247934 +04.6505841159180,   -1.602 5.994 ,4.2374   ,22.9        ,         ,         ,         ,         ,17.065063,         ,15.108   ,14.278   ,12.806   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  35,   0
606 ,PNG 171.3-25.8,PN Ba 1                            ,PN ,058.402288 +19.494061              ,060.398809 -00.757019              ,171.300541 -25.812591              ,                ,         ,-17.0       ,         ,14.6     ,14.3     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.633 0.633          ,0       ,0        ,0        ,  70,   0
607 ,PNG 173.5+03.2,PN G173.5+03.2                     ,PN ,085.643554 +36.152164              ,086.394299 +12.767378              ,173.510993 +03.227788              ,                ,         ,45.0        ,         ,19       ,20.5     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  21,   0
608 ,PNG 173.7+02.7,SH 2-235 A                         ,HII,085.222221 +35.706192              ,086.030135 +12.332712              ,173.710893 +02.702970              ,                ,         ,            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  55,   1
609 ,PNG 173.7-05.8,LBN 809                            ,RNe,076.787900 +30.824481              ,078.570908 +07.907879              ,173.775408 -05.868226              ,                ,         ,19.2        ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,2.200 2.200          ,0       ,0        ,0        ,  53,   2
610 ,PNG 174.2-14.6,PN H 3-29                          ,PN ,069.348188 +25.045528              ,071.340423 +02.934121              ,174.247104 -14.603358              ,                ,         ,-19.9       ,         ,15.70    ,         ,         ,         ,         ,14.478   ,13.768   ,12.871   ,         ,         ,         ,         ,         ,               ,                           ,0.200 0.200          ,2       ,0        ,0        ,  71,   1
611 ,PNG 178.3-02.5,PN K 3-68                          ,PN ,082.899400 +28.978208              ,083.761234 +05.692558              ,178.326625 -02.571237              ,                ,         ,65.0        ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.200 0.200          ,0       ,0        ,0        ,  39,   0
612 ,PNG 181.5+00.9,PN Pu 1                            ,PN ,088.2018980650400 +28.0997655425700,088.4086216973995 +04.6704012850404,181.5297527254695 +00.9232527492280,                ,         ,49          ,         ,14       ,18       ,         ,20.816530,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,1.100 1.100          ,0       ,0        ,0        ,  32,   0
613 ,PNG 183.8+05.5,PN G183.8+05.5                     ,PN ,094.047279 +28.369714              ,093.574050 +04.980616              ,183.812486 +05.548992              ,                ,         ,            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,   9,   0
614 ,PNG 184.0-02.1,PN M 1-5                           ,PN ,086.7083833147500 +24.3674577915100,087.0014711442961 +00.9624162096757,184.0453261901274 -02.1423413677968,  -0.231 -1.475 ,0.1997   ,37.0        ,         ,         ,         ,         ,15.894768,         ,12.266   ,11.833   ,10.765   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        , 114,   1
615 ,PNG 184.6+00.6,PN K 3-70                          ,PN ,089.6889786574700 +25.3121973425600,089.7186960909998 +01.8732044154385,184.6072289510097 +00.6670270294801,                ,         ,26.9        ,         ,         ,         ,         ,20.846436,         ,15.941   ,15.549   ,14.524   ,         ,         ,         ,         ,         ,               ,                           ,0.027 0.027          ,0       ,0        ,0        ,  32,   0
616 ,PNG 184.8+04.4,PN K 3-71                          ,PN ,093.479096 +26.882500              ,093.108486 +03.480736              ,184.891398 +04.404465              ,                ,         ,18.0        ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  24,   0
617 ,PNG 189.1+19.8,NGC 2371                           ,PN ,111.3945349704200 +29.4906750700200,108.6757332606317 +07.4279529210096,189.1563164850775 +19.8431232811265,  -1.256 -7.078 ,0.5812   ,21.0        ,         ,14.48    ,13.5     ,         ,14.778178,         ,15.208   ,15.501   ,15.494   ,         ,         ,         ,         ,         ,Oe             ,                           ,0.727 0.727          ,0       ,0        ,0        , 360,   0
