 #  ,typed ident ,            identifier             ,         typ          ,                                                                  all types                                                                  ,     coord1 (ICRS|J2000/2000)      ,       pm       ,   plx   ,   radvel   ,  Mag B  ,  Mag V  ,  Mag I  ,  spec. type   ,        morph. type        ,      ang. size      ,#parents,#children,#siblings,#bib
1182,PK 026-02.1 ,PN Pe 1-16                         ,PlanetaryNeb          ,PlanetaryNeb|Star|Infrared                                                                                                                   ,281.884379 -06.900978              ,                ,         ,            ,         ,13.5     ,         ,               ,                           ,                     ,0       ,0        ,0        ,  27
1183,PK 024-03.1 ,PN Pe 1-17                         ,PlanetaryNeb          ,PlanetaryNeb|Star|Infrared                                                                                                                   ,281.953329 -09.151925              ,                ,         ,1           ,         ,         ,         ,               ,                           ,0.117 0.117          ,0       ,0        ,0        ,  57
1184,PK 016-07.1 ,PN SB 21                           ,PlanetaryNeb          ,PlanetaryNeb|Star|Infrared|Radio                                                                                                             ,282.045683 -18.493889              ,                ,         ,66          ,         ,         ,         ,               ,                           , 0.37  0.27          ,0       ,0        ,0        ,  16
1185,PK 009-10.1 ,PN M 3-33                          ,PlanetaryNeb          ,PlanetaryNeb|Star|Galaxy|Infrared                                                                                                            ,282.0505848474000 -25.4812288173200,  -4.780 -5.648 ,0.1644   ,176         ,         ,13.20    ,         ,               ,                           ,0.163 0.163          ,0       ,0        ,0        ,  77
1186,PK 016-07.2 ,PN SB 22                           ,PlanetaryNeb          ,PlanetaryNeb|Star|Infrared                                                                                                                   ,282.12579 -17.73167                ,                ,         ,-10         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,   7
1187,PK 042+05.1 ,PN K 3-14                          ,PlanetaryNeb          ,PlanetaryNeb|EmLine*|EmObj|Star|Infrared                                                                                                     ,282.1367133841100 +10.5974208201000,  -2.247 -5.361 ,0.0084   ,            ,10       ,         ,         ,O8-9           ,                           ,0.017 0.017          ,0       ,0        ,0        ,  36
1188,PK 027-02.1 ,PN Pe 1-18                         ,PlanetaryNeb          ,PlanetaryNeb|cmRad|Star|Infrared                                                                                                             ,282.193558 -05.935475              ,                ,         ,            ,         ,15.2     ,         ,               ,                           ,                     ,0       ,0        ,0        ,  47
1189,PK 014-08.1 ,PN SB 20                           ,PlanetaryNeb          ,PlanetaryNeb|Star                                                                                                                            ,282.3512 -19.8711                  ,                ,         ,-24         ,         ,         ,         ,O(H)3-4        ,                           , 0.32  0.28          ,0       ,0        ,0        ,  15
1190,PK 026-02.3 ,PN Pe 1-19                         ,PlanetaryNeb          ,PlanetaryNeb|Star|Infrared                                                                                                                   ,282.436012 -07.026397              ,                ,         ,            ,         ,         ,         ,               ,                           ,0.073 0.073          ,0       ,0        ,0        ,  37
1191,PK 051+09.1 ,PN Hu 2-1                          ,PlanetaryNeb          ,PlanetaryNeb|EmLine*|Star|Infrared|Radio                                                                                                     ,282.4481709097200 +20.8442769152100,  -0.893 -7.837 ,0.4186   ,17.00       ,12.369   ,11.126   ,         ,               ,                           ,0.03030300 0.03030067,0       ,0        ,0        , 273
1192,PK 064+15.1 ,PN M 1-64                          ,PlanetaryNeb          ,PlanetaryNeb|Star|Infrared                                                                                                                   ,282.508708 +35.243361              ,                ,         ,-25.1       ,         ,         ,         ,               ,                           ,0.283 0.283          ,0       ,0        ,0        ,  52
1193,PK 028-02.1 ,THA 14-39                          ,EmLine*               ,EmLine*|PlanetaryNeb|Star|Infrared                                                                                                           ,282.5376133470100 -05.2511484739100,  -0.722 -5.232 ,0.1158   ,            ,16.02    ,14.71    ,         ,B[e]           ,                           ,                     ,0       ,0        ,0        ,  11
1194,PK 017-07.1 ,PN SB 23                           ,PlanetaryNeb          ,PlanetaryNeb|Star|Infrared                                                                                                                   ,282.55496 -17.03933                ,                ,         ,52          ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,   8
1195,PK 031-00.2 ,PN HaTr 10                         ,PlanetaryNeb          ,PlanetaryNeb|EmObj|EmObj                                                                                                                     ,282.603104 -01.672194              ,                ,         ,            ,         ,         ,         ,               ,                           ,1.497 1.497          ,0       ,0        ,0        ,  18
1196,PK 012-09.1 ,PN M 1-62                          ,PlanetaryNeb          ,PlanetaryNeb|Star|Galaxy|Infrared                                                                                                            ,282.6085292917300 -22.5729744153500,  -1.354 -7.392 ,0.0889   ,41          ,         ,         ,         ,[WC]           ,                           ,                     ,0       ,0        ,0        ,  46
1197,PK 031-00.1 ,PN WeSb 4                          ,PlanetaryNeb          ,PlanetaryNeb|Bubble|EmObj|EmObj|Infrared                                                                                                     ,282.667925 -01.053100              ,                ,         ,            ,         ,         ,         ,               ,                           , 0.42  0.42          ,0       ,0        ,0        ,  27
1198,PK 020-05.1 ,PN Sa 1-8                          ,PlanetaryNeb          ,PlanetaryNeb|EmLine*|EmObj|Star|Infrared                                                                                                     ,282.6847622011400 -13.5173237177800,   1.954 -2.803 ,0.251    ,46          ,12       ,         ,         ,O(H)4-8III     ,                           ,0.093 0.093          ,0       ,0        ,0        ,  43
1199,PK 044+05.2 ,PN G044.1+05.8                     ,PlanetaryNeb          ,PlanetaryNeb|Star|Infrared                                                                                                                   ,282.6952544971100 +12.6249566291100,   0.678 -3.151 ,0.114    ,            ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  14
1200,PK 021-05.1 ,PN M 1-63                          ,PlanetaryNeb          ,PlanetaryNeb|Star|Infrared                                                                                                                   ,282.879008 -13.176828              ,      15.5 -2.4 ,         ,5           ,15.50    ,14.09    ,15.38    ,               ,                           ,0.070 0.070          ,0       ,0        ,0        ,  42
1201,PK 041+04.1 ,PN K 3-15                          ,PlanetaryNeb          ,PlanetaryNeb|Star|Infrared                                                                                                                   ,282.92308 +09.91461                ,                ,         ,            ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  31
1202,PK 044+05.1 ,PN K 3-16                          ,PlanetaryNeb          ,PlanetaryNeb|Star|Infrared                                                                                                                   ,283.25662 +12.26672                ,                ,         ,            ,         ,         ,         ,               ,                           ,0.067 0.067          ,0       ,0        ,0        ,  24
1203,PK 027-03.1 ,PN A66 49                          ,PlanetaryNeb          ,PlanetaryNeb                                                                                                                                 ,283.367883 -06.479675              ,                ,         ,28          ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  33
1204,PK 063+13.1 ,M 57                               ,PlanetaryNeb          ,PlanetaryNeb|blue|PlanetaryNeb|WhiteDwarf|Star|Infrared|Radio                                                                                ,283.3962365246300 +33.0291342465400,    1.645 2.472 ,1.2696   ,-19.1       ,15.405   ,15.769   ,16.062   ,DA(O?)         ,                           ,1.153 1.153          ,0       ,0        ,0        , 815
1205,PK 058+12.1 ,PN K 4-9                           ,Star                  ,PlanetaryNeb|Star|Infrared                                                                                                                   ,283.4215475353800 +28.5367982547600,   9.553 16.799 ,5.0516   ,            ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,   8
1206,PK 027-03.2 ,PN Vy 1-4                          ,PlanetaryNeb          ,PlanetaryNeb|Star|Infrared                                                                                                                   ,283.5078880303600 -06.4389526690200,  -5.748 -8.090 ,0.1731   ,47          ,         ,12.4     ,         ,               ,                           ,0.067 0.067          ,0       ,0        ,0        ,  38
1207,PK 032-00.1 ,PN G032.9-00.7                     ,PlanetaryNeb          ,EmObj|PlanetaryNeb|EmObj|Star                                                                                                                ,283.527496 -00.333431              ,                ,         ,            ,         ,         ,         ,               ,                           ,0.263 0.263          ,0       ,0        ,0        ,  10
1208,PK 029-02.1 ,PN Pe 2-16                         ,Symbiotic*            ,Variable*|PlanetaryNeb|Symbiotic*|Star|Infrared                                                                                              ,283.5418022238000 -04.6477493193900,  -1.952 -7.125 ,0.169    ,            ,         ,16.3     ,12.97    ,M4/6e          ,                           ,                     ,0       ,0        ,0        ,  39
1209,PK 024-05.1 ,PN M 4-11                          ,PlanetaryNeb          ,PlanetaryNeb|Infrared                                                                                                                        ,283.573629 -10.087358              ,                ,         ,46          ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  32
1210,PK 025-04.1 ,PN K 4-8                           ,PlanetaryNeb          ,PlanetaryNeb|Star|Infrared                                                                                                                   ,283.5834157442499 -08.7925651096800,                ,         ,-85         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  32
1211,PK 025-04.2 ,IC 1295                            ,PlanetaryNeb          ,WhiteDwarf|PlanetaryNeb|WhiteDwarf|Star|Infrared                                                                                             ,283.6547843359500 -08.8270611092900,  -1.737 -2.252 ,0.6492   ,-13         ,         ,         ,         ,DAO.56         ,                           ,1.803 1.803          ,0       ,0        ,0        ,  90
1212,PK 038+02.1 ,PN YM 16                           ,PlanetaryNeb          ,PlanetaryNeb|HIIReg                                                                                                                          ,283.738767 +06.041961              ,                ,         ,            ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  31
1213,PK 013-10.1 ,PN Y-C 2-32                        ,PlanetaryNeb          ,PlanetaryNeb|Star|Galaxy|Infrared                                                                                                            ,283.8777940530100 -21.8277253816200,  -2.015 -7.294 ,0.0842   ,37          ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  34
1214,PK 003-14.1 ,PN Hb 7                            ,PlanetaryNeb          ,PlanetaryNeb|EmLine*|Star|Galaxy|Infrared                                                                                                    ,283.9075155679900 -32.2634871142700,  -4.007 -6.904 ,0.198    ,-62.0       ,12.58    ,11.65    ,         ,O3             ,                           ,0.067 0.067          ,0       ,0        ,0        ,  92
1215,PK 032-01.1 ,CBSS 2                             ,PlanetaryNeb          ,PlanetaryNeb|Star|Infrared                                                                                                                   ,284.06542 -01.56683                ,                ,         ,            ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,   9
1216,PK 039+02.1 ,PN K 3-17                          ,PlanetaryNeb          ,PlanetaryNeb|Star|Galaxy|Infrared|Radio                                                                                                      ,284.075683 +07.123856              ,                ,         ,            ,         ,         ,         ,               ,                           ,0.317 0.291          ,0       ,0        ,0        ,  62
1217,PK 043+03.1 ,PN M 1-65                          ,PlanetaryNeb          ,PlanetaryNeb|Star|Infrared                                                                                                                   ,284.1401454011400 +10.8693301473900,  -2.701 -9.101 ,0.1516   ,3.7         ,         ,14.89    ,         ,               ,                           ,0.06307834 0.06298634,0       ,0        ,0        ,  65
1218,PK 019-08.1 ,PN MaC 1-15                        ,PlanetaryNeb          ,PlanetaryNeb|PlanetaryNeb|Star|Infrared|PlanetaryNeb_Candidate                                                                               ,284.3080281824800 -15.4870183919900,  -1.702 -4.757 ,0.0611   ,            ,16.23    ,15.41    ,16.11    ,               ,                           ,                     ,0       ,0        ,0        ,   6
1219,PK 017-09.1 ,PN G017.5-09.2                     ,PlanetaryNeb          ,blue|PlanetaryNeb|Star|Galaxy|Infrared                                                                                                       ,284.3188988063500 -17.8469206536200,  -6.082 -7.539 ,0.3413   ,22          ,17.25    ,         ,         ,               ,                           , 0.26  0.14          ,0       ,0        ,0        ,  16
1220,PK 028-04.1 ,PN Pe 1-20                         ,PlanetaryNeb          ,PlanetaryNeb|Star|Infrared                                                                                                                   ,284.322296 -05.997719              ,                ,         ,65          ,         ,15.1     ,         ,               ,                           ,0.107 0.107          ,0       ,0        ,0        ,  40
1221,PK 028-03.1 ,PN Pe 1-21                         ,PlanetaryNeb          ,PlanetaryNeb|Star|Infrared                                                                                                                   ,284.456842 -05.461036              ,                ,         ,-20         ,         ,16       ,         ,               ,                           ,0.143 0.143          ,0       ,0        ,0        ,  38
1222,PK 035-00.1 ,[DLW84] G35.2S                     ,HIIReg                ,HIIReg|PlanetaryNeb|Star|Infrared|PartofCloud|Radio                                                                                          ,284.5436862407000 +01.6158963101200,   0.363 -2.137 ,0.397    ,            ,16.80    ,14.72    ,12.22    ,               ,                           ,0.547 0.547          ,2       ,0        ,0        ,  56
1223,PK 032-02.1 ,PN M 1-66                          ,PlanetaryNeb          ,PlanetaryNeb|Star|Infrared|Radio                                                                                                             ,284.60933 -01.06267                ,                ,         ,27.9        ,         ,         ,         ,               ,                           ,0.05368367 0.05306767,0       ,0        ,0        ,  49
1224,PK 033-01.1 ,PN Sa 3-151                        ,PlanetaryNeb          ,PlanetaryNeb|PlanetaryNeb|Star|Infrared                                                                                                      ,284.7154899752900 -00.5483876912800,   0.622 -2.463 ,0.7962   ,            ,13.93    ,13.10    ,         ,               ,                           ,                     ,0       ,0        ,0        ,  17
1225,PK 052+07.1 ,PN K 4-10                          ,PlanetaryNeb          ,PlanetaryNeb|EmLine*|Star|Infrared                                                                                                           ,284.7656630144300 +20.6169779140600,  -3.268 -4.161 ,         ,            ,         ,         ,         ,O3-4           ,                           ,                     ,0       ,0        ,0        ,  17
1226,PK 078+18.1 ,NGC 6742                           ,PlanetaryNeb          ,PlanetaryNeb|Star                                                                                                                            ,284.833458 +48.465344              ,                ,         ,-159.0      ,         ,16.567   ,         ,O(H)III-V      ,                           ,0.450 0.450          ,0       ,0        ,0        ,  58
